year,burrow,outcome,incDur,count.F,count.M,NO.BIRD,femper,malper,exp,julian,whoFirst
2019,DB15,HATCHED,54,5,4,1,0.528301887,0.471698113,EXP,134,F
2015,DB16,FAILED,16,2,2,6,0.272727273,0.727272727,NEW,151,M
2017,DB16,FAILED,32,2,2,0,0.444444444,0.555555556,EXP,133,nostart
2018,DB18,FAILED,32,3,4,0,0.484848485,0.515151515,EXP,131,M
2016,DB19,HATCHED,53,6,7,1,0.41509434,0.58490566,UNKNOWN,NA,F
2019,DB20,FAILED,45,7,7,14,0.294117647,0.705882353,NEW,133,M
2019,DB26,HATCHED,50,6,5,1,0.489795918,0.510204082,EXP,139,F
2018,DB27,HATCHED,48,3,4,0,0.387755102,0.612244898,EXP,129,M
2019,DB27,HATCHED,50,4,4,0,0.48,0.52,EXP,116,F
2018,DB28,HATCHED,50,4,4,0,0.450980392,0.549019608,NEW,136,M
2016,DB30,HATCHED,52,5,5,0,0.547169811,0.452830189,UNKNOWN,NA,F
2015,DB33,FAILED,51,5,4,3,0.530612245,0.469387755,EXP,137,F
2019,DB33,HATCHED,51,4,4,0,0.568627451,0.431372549,EXP,127,M
2016,DB4,HATCHED,49,4,3,0,0.6,0.4,EXP,133,F
2018,DB4,HATCHED,50,5,4,0,0.519230769,0.480769231,EXP,135,F
2015,DB43,FAILED,33,3,2,0,0.441176471,0.558823529,EXP,146,F
2019,DB43,HATCHED,49,6,6,0,0.549019608,0.450980392,NEW,139,M
2016,DB8,FAILED,41,4,3,3,0.41025641,0.58974359,EXP,128,F
2019,DB8,HATCHED,50,5,5,0,0.48,0.52,EXP,128,M
