burrow,year,stintID,start_date,ring,sex,start_mass,burrowID,stintlength,DSL,end_mass,endsInNeglect,followsNeglect,exp,whoFirst
135,2019,2,22/05/2019,FB30681,F,470,135.2019,7,18,410,NO,NO,EXP,F
135,2019,2,29/05/2019,FB32330,M,475,135.2019,6,25,425,NO,NO,EXP,F
135,2019,3,04/06/2019,FB30681,F,460,135.2019,7,31,425,NO,NO,EXP,F
135,2019,3,11/06/2019,FB32330,M,445,135.2019,9,38,365,NO,NO,EXP,F
135,2019,4,20/06/2019,FB30681,F,490,135.2019,6,47,430,NO,NO,EXP,F
139,2015,0,07/05/2015,FB30303,M,435,139.2015,5,1,380,NO,NO,EXP,M
139,2015,0,12/05/2015,EX93603,F,510,139.2015,6,6,465,NO,NO,EXP,M
139,2015,1,18/05/2015,FB30303,M,430,139.2015,2,12,425,YES,NO,EXP,M
14,2017,0,15/05/2017,EL60769,M,NA,14.2017,7,6,NA,NO,NO,EXP,nostart
14,2017,0,22/05/2017,FB30109,F,NA,14.2017,7,13,NA,NO,NO,EXP,nostart
14,2017,1,29/05/2017,EL60769,M,NA,14.2017,4,20,NA,NO,NO,EXP,nostart
14,2017,2,26/06/2017,EL60769,M,NA,14.2017,3,48,NA,NO,NO,EXP,nostart
140,2015,0,12/05/2015,FB30072,M,510,140.2015,7,1,455,NO,NO,EXP,M
140,2015,0,19/05/2015,EX93604,F,455,140.2015,6,8,400,NO,NO,EXP,M
140,2015,1,25/05/2015,FB30072,M,495,140.2015,6,14,425,YES,NO,EXP,M
140,2015,2,01/06/2015,FB30072,M,445,140.2015,3,21,440,NO,YES,EXP,M
140,2015,3,12/06/2015,FB30072,M,480,140.2015,4,32,430,NO,NO,EXP,M
140,2016,0,16/05/2016,EK93604,F,395,140.2016,3,1,375,NO,NO,UNKNOWN,F
140,2016,0,19/05/2016,FB30072,M,500,140.2016,8,4,440,NO,NO,UNKNOWN,F
140,2016,1,27/05/2016,EK93604,F,490,140.2016,7,12,440,NO,NO,UNKNOWN,F
140,2016,1,03/06/2016,FB30072,M,455,140.2016,7,19,430,NO,NO,UNKNOWN,F
140,2016,2,10/06/2016,EK93604,F,445,140.2016,7,26,395,NO,NO,UNKNOWN,F
140,2016,2,17/06/2016,FB30072,M,500,140.2016,7,33,470,NO,NO,UNKNOWN,F
140,2016,3,24/06/2016,EK93604,F,455,140.2016,7,40,420,NO,NO,UNKNOWN,F
145,2016,0,11/05/2016,EZ01622,M,440,145.2016,7,2,385,NO,NO,EXP,nostart
145,2016,0,18/05/2016,EX93861,F,475,145.2016,4,9,465,NO,NO,EXP,nostart
145,2016,1,22/05/2016,EZ01622,M,480,145.2016,3,13,465,NO,NO,EXP,nostart
145,2016,1,25/05/2016,EX93861,F,450,145.2016,3,16,430,NO,NO,EXP,nostart
145,2016,2,28/05/2016,EZ01622,M,470,145.2016,7,19,410,NO,NO,EXP,nostart
145,2016,2,04/06/2016,EX93861,F,455,145.2016,12,26,360,NO,NO,EXP,nostart
145,2016,3,16/06/2016,EZ01622,M,440,145.2016,8,38,380,NO,NO,EXP,nostart
147,2017,0,16/05/2017,FB30504,M,NA,147.2017,5,9,NA,NO,NO,NEW,nostart
147,2017,0,21/05/2017,FB32172,F,NA,147.2017,4,14,NA,NO,NO,NEW,nostart
147,2017,1,25/05/2017,FB30504,M,NA,147.2017,6,18,NA,NO,NO,NEW,nostart
147,2017,1,31/05/2017,FB32172,F,NA,147.2017,6,24,NA,NO,NO,NEW,nostart
147,2017,2,06/06/2017,FB30504,M,NA,147.2017,8,30,NA,NO,NO,NEW,nostart
147,2017,3,23/06/2017,FB30504,M,NA,147.2017,3,47,NA,NO,NO,NEW,nostart
15,2017,0,13/05/2017,EB52885,M,NA,15.2017,4,1,NA,NO,NO,NEW,M
15,2017,0,17/05/2017,EY07369,F,NA,15.2017,5,5,NA,NO,NO,NEW,M
15,2017,1,22/05/2017,EB52885,M,NA,15.2017,3,10,NA,NO,NO,NEW,M
15,2017,1,25/05/2017,EY07369,F,NA,15.2017,5,13,NA,NO,NO,NEW,M
15,2017,2,30/05/2017,EB52885,M,NA,15.2017,6,18,NA,NO,NO,NEW,M
15,2017,2,05/06/2017,EY07369,F,NA,15.2017,8,24,NA,NO,NO,NEW,M
15,2017,3,13/06/2017,EB52885,M,NA,15.2017,9,32,NA,NO,NO,NEW,M
150,2019,0,12/05/2019,EX93815,M,460,150.2019,3,1,440,NO,NO,UNKNOWN,M
150,2019,0,15/05/2019,EX93849,F,410,150.2019,6,4,380,NO,NO,UNKNOWN,M
150,2019,1,21/05/2019,EX93815,M,455,150.2019,6,10,NA,NO,NO,UNKNOWN,M
150,2019,1,27/05/2019,EX93849,F,430,150.2019,11,16,355,NO,NO,UNKNOWN,M
150,2019,2,07/06/2019,EX93815,M,445,150.2019,7,27,400,NO,NO,UNKNOWN,M
150,2019,2,14/06/2019,EX93849,F,435,150.2019,8,34,390,NO,NO,UNKNOWN,M
150,2019,3,22/06/2019,EX93815,M,470,150.2019,9,42,400,NO,NO,UNKNOWN,M
151,2016,0,12/05/2016,FB30392,M,480,151.2016,3,1,470,NO,NO,EXP,M
151,2016,0,15/05/2016,FB24525,F,405,151.2016,2,4,400,NO,NO,EXP,M
151,2016,1,17/05/2016,FB30392,M,480,151.2016,5,6,440,NO,NO,EXP,M
151,2016,1,22/05/2016,FB24525,F,415,151.2016,4,11,390,NO,NO,EXP,M
151,2016,2,26/05/2016,FB30392,M,505,151.2016,8,15,420,NO,NO,EXP,M
151,2016,2,03/06/2016,FB24525,F,440,151.2016,6,23,395,NO,NO,EXP,M
151,2016,3,09/06/2016,FB30392,M,460,151.2016,6,29,395,NO,NO,EXP,M
151,2016,4,22/06/2016,FB30392,M,475,151.2016,7,42,410,NO,NO,EXP,M
151,2017,0,15/05/2017,FB24525,F,NA,151.2017,7,8,NA,NO,NO,EXP,nostart
151,2017,0,22/05/2017,FB30392,M,NA,151.2017,7,15,NA,NO,NO,EXP,nostart
151,2017,1,29/05/2017,FB24525,F,NA,151.2017,8,22,NA,NO,NO,EXP,nostart
151,2017,1,06/06/2017,FB30392,M,NA,151.2017,7,30,NA,NO,NO,EXP,nostart
151,2017,2,13/06/2017,FB24525,F,NA,151.2017,5,37,NA,NO,NO,EXP,nostart
151,2017,3,25/06/2017,FB24525,F,NA,151.2017,2,49,NA,NO,NO,EXP,nostart
158,2019,0,08/05/2019,EK59614,F,480,158.2019,1,1,480,NO,NO,EXP,F
158,2019,0,08/05/2019,EZ88854,M,425,158.2019,5,1,410,NO,NO,EXP,F
158,2019,1,13/05/2019,EK59614,F,480,158.2019,6,6,410,NO,NO,EXP,F
158,2019,1,16/05/2019,EZ88854,M,455,158.2019,1,9,455,NO,NO,EXP,F
158,2019,2,19/05/2019,EZ88854,M,460,158.2019,3,12,445,NO,NO,EXP,F
158,2019,2,22/05/2019,EK59614,F,425,158.2019,3,15,400,NO,NO,EXP,F
158,2019,3,25/05/2019,EZ88854,M,450,158.2019,6,18,405,NO,NO,EXP,F
158,2019,3,31/05/2019,EK59614,F,490,158.2019,8,24,390,NO,NO,EXP,F
158,2019,4,04/06/2019,EZ88854,M,435,158.2019,1,28,435,NO,NO,EXP,F
158,2019,5,08/06/2019,EZ88854,M,455,158.2019,12,32,360,YES,NO,EXP,F
158,2019,6,21/06/2019,EZ88854,M,385,158.2019,1,45,385,NO,YES,EXP,F
158,2019,4,22/06/2019,EK59614,F,435,158.2019,2,46,425,NO,NO,EXP,F
158,2019,5,25/06/2019,EK59614,F,400,158.2019,2,49,395,NO,NO,EXP,F
159,2016,0,07/05/2016,EZ01946,F,430,159.2016,1,1,430,NO,NO,NEW,F
159,2016,0,08/05/2016,EX93860,M,470,159.2016,9,2,395,NO,NO,NEW,F
159,2016,1,17/05/2016,EZ01946,F,460,159.2016,6,11,405,NO,NO,NEW,F
159,2016,1,23/05/2016,EX93860,M,450,159.2016,9,17,395,NO,NO,NEW,F
159,2016,2,01/06/2016,EZ01946,F,450,159.2016,12,26,340,NO,NO,NEW,F
161,2019,0,13/05/2019,EX93859,M,390,161.2019,2,1,370,NO,NO,NEW,M
161,2019,0,13/05/2019,EZ72789,F,380,161.2019,5,1,325,YES,NO,NEW,M
161,2019,1,23/05/2019,EX93859,M,390,161.2019,2,11,375,YES,NO,NEW,M
161,2019,1,26/05/2019,EZ72789,F,435,161.2019,7,14,365,YES,YES,NEW,M
161,2019,2,28/05/2019,EX93859,M,385,161.2019,1,16,385,NO,NO,NEW,M
161,2019,3,30/05/2019,EX93859,M,375,161.2019,1,18,375,NO,NO,NEW,M
161,2019,4,03/06/2019,EX93859,M,360,161.2019,1,22,360,NO,YES,NEW,M
161,2019,2,03/06/2019,EZ72789,F,420,161.2019,3,22,360,NO,NO,NEW,M
161,2019,5,06/06/2019,EX93859,M,390,161.2019,1,25,390,YES,NO,NEW,M
161,2019,6,10/06/2019,EX93859,M,400,161.2019,1,29,400,YES,YES,NEW,M
161,2019,7,12/06/2019,EX93859,M,410,161.2019,4,31,355,NO,YES,NEW,M
161,2019,3,13/06/2019,EZ72789,F,455,161.2019,6,32,390,NO,NO,NEW,M
161,2019,8,19/06/2019,EX93859,M,410,161.2019,1,38,410,YES,NO,NEW,M
161,2019,9,21/06/2019,EX93859,M,395,161.2019,1,40,395,YES,YES,NEW,M
161,2019,10,27/06/2019,EX93859,M,375,161.2019,2,46,365,NO,YES,NEW,M
161,2019,4,27/06/2019,EZ72789,F,425,161.2019,2,46,410,NO,NO,NEW,M
161,2019,11,02/07/2019,EX93859,M,405,161.2019,1,51,405,YES,NO,NEW,M
163,2016,0,11/05/2016,EZ01950,F,360,163.2016,3,1,330,YES,NO,UNKNOWN,F
163,2016,1,16/05/2016,EZ01950,F,375,163.2016,1,6,375,NO,YES,UNKNOWN,F
163,2016,0,17/05/2016,EZ01934,M,450,163.2016,5,7,400,NO,NO,UNKNOWN,F
163,2016,2,22/05/2016,EZ01950,F,400,163.2016,5,12,370,NO,NO,UNKNOWN,F
163,2016,1,27/05/2016,EZ01934,M,NA,163.2016,1,17,NA,YES,NO,UNKNOWN,F
163,2016,3,05/06/2016,EZ01950,F,360,163.2016,1,26,360,NO,YES,UNKNOWN,F
163,2016,4,11/06/2016,EZ01950,F,415,163.2016,4,32,370,NO,YES,UNKNOWN,F
165,2017,0,16/05/2017,FB30677,F,NA,165.2017,1,16,NA,NO,NO,UNKNOWN,nostart
165,2017,0,17/05/2017,EZ72785,M,NA,165.2017,7,17,NA,NO,NO,UNKNOWN,nostart
165,2017,1,24/05/2017,FB30677,F,NA,165.2017,5,24,NA,NO,NO,UNKNOWN,nostart
165,2017,1,29/05/2017,EZ72785,M,NA,165.2017,7,29,NA,NO,NO,UNKNOWN,nostart
165,2017,2,05/06/2017,FB30677,F,NA,165.2017,6,36,NA,NO,NO,UNKNOWN,nostart
167,2016,0,07/06/2016,EK59739,M,480,167.2016,6,8,430,NO,NO,NEW,nostart
167,2016,0,13/06/2016,EZ01653,F,420,167.2016,4,14,380,NO,NO,NEW,nostart
167,2016,1,17/06/2016,EK59739,M,480,167.2016,4,18,485,NO,NO,NEW,nostart
167,2016,1,21/06/2016,EZ01653,F,395,167.2016,7,22,335,NO,NO,NEW,nostart
167,2016,2,28/06/2016,EK59739,M,470,167.2016,8,29,415,NO,NO,NEW,nostart
16L,2017,0,16/05/2017,FB32297,M,NA,16L.2017,3,7,NA,NO,NO,EXP,nostart
16L,2017,0,19/05/2017,FB30568,F,NA,16L.2017,3,10,NA,NO,NO,EXP,nostart
16L,2017,1,22/05/2017,FB32297,M,NA,16L.2017,7,13,NA,NO,NO,EXP,nostart
16L,2017,1,29/05/2017,FB30568,F,NA,16L.2017,4,20,NA,NO,NO,EXP,nostart
16L,2017,2,02/06/2017,FB32297,M,NA,16L.2017,4,24,NA,YES,NO,EXP,nostart
16L,2017,3,07/06/2017,FB32297,M,NA,16L.2017,1,29,NA,YES,YES,EXP,nostart
16L,2017,4,12/06/2017,FB32297,M,NA,16L.2017,2,34,NA,YES,NO,EXP,nostart
171,2015,0,17/05/2015,EX93918,M,450,171.2015,7,1,385,NO,NO,EXP,M
171,2015,0,24/05/2015,EK59706,F,405,171.2015,9,8,330,NO,NO,EXP,M
171,2015,1,02/06/2015,EX93918,M,460,171.2015,7,17,395,NO,NO,EXP,M
171,2015,1,09/06/2015,EK59706,F,440,171.2015,6,24,385,NO,NO,EXP,M
171,2015,2,15/06/2015,EX93918,M,470,171.2015,7,30,420,NO,NO,EXP,M
