burrow,year,stintID,ring,sex,start_mass,DSL,foragetrip,partnerincoming,exp
DB19,2016,4,EZ01948,F,375,39,3,455,UNKNOWN
DB19,2016,0,EZ01948,F,375,1,5,NA,UNKNOWN
DB19,2016,5,EJ47567,M,420,42,4,385,UNKNOWN
DB19,2016,2,EJ47567,M,375,18,4,375,UNKNOWN
DB19,2016,3,EZ01948,F,355,31,5,435,UNKNOWN
DB19,2016,1,EJ47567,M,415,15,1,405,UNKNOWN
DB19,2016,1,EZ01948,F,355,11,7,445,UNKNOWN
DB19,2016,2,EZ01948,F,375,22,4,440,UNKNOWN
DB20,2019,2,EX41732,M,355,18,2,365,NEW
DB20,2019,4,EX41732,M,375,29,2,420,NEW
DB20,2019,5,EZ72855,F,365,20,2,400,NEW
DB20,2019,1,EZ72855,F,380,5,2,430,NEW
DB20,2019,2,EZ72855,F,395,8,4,395,NEW
DB20,2019,4,EZ72855,F,355,16,3,355,NEW
DB20,2019,0,EZ72855,F,385,1,1,NA,NEW
DB20,2019,3,EX41732,M,400,21,3,430,NEW
DB20,2019,5,EX41732,M,385,38,5,460,NEW
DB20,2019,0,EX41732,M,385,2,6,390,NEW
DB20,2019,3,EZ72855,F,335,13,2,405,NEW
DB20,2019,1,EX41732,M,395,12,2,335,NEW
DB26,2019,2,FB30537,M,395,33,8,455,EXP
DB26,2019,2,EZ01936,F,410,25,8,500,EXP
DB26,2019,0,FB30537,M,370,8,5,440,EXP
DB26,2019,3,EZ01936,F,410,40,3,470,EXP
DB26,2019,1,EZ01936,F,400,13,7,475,EXP
DB26,2019,1,FB30537,M,400,20,5,445,EXP
DB26,2019,0,EZ01936,F,385,3,5,NA,EXP
DB26,2019,3,FB30537,M,460,43,1,445,EXP
DB26,2019,4,EZ01936,F,445,44,3,435,EXP
DB27,2018,0,EX41780,M,425,7,6,NA,EXP
DB27,2018,2,EX41780,M,405,34,7,445,EXP
DB27,2018,0,EZ72750,F,415,13,7,465,EXP
DB27,2018,1,EX41780,M,405,20,6,435,EXP
DB27,2018,1,EZ72750,F,390,26,8,480,EXP
DB27,2019,0,EZ72750,F,355,2,8,NA,EXP
DB27,2019,2,EZ72750,F,415,34,6,480,EXP
DB27,2019,1,EZ72750,F,NA,20,8,510,EXP
DB27,2019,1,EX41780,M,430,28,6,465,EXP
DB27,2019,0,EX41780,M,420,10,10,435,EXP
DB27,2019,2,EX41780,M,440,40,6,450,EXP
DB28,2018,0,EX41749,M,405,4,5,NA,NEW
DB28,2018,0,EZ88882,F,420,9,6,475,NEW
DB28,2018,2,EX41749,M,385,31,9,460,NEW
DB28,2018,1,EZ88882,F,435,22,9,475,NEW
DB28,2018,2,EZ88882,F,415,40,9,440,NEW
DB28,2018,1,EX41749,M,405,15,7,475,NEW
DB30,2016,0,EK59686,F,360,1,2,NA,UNKNOWN
DB30,2016,0,EX41784,M,480,3,4,455,UNKNOWN
DB30,2016,2,EX41784,M,440,28,8,455,UNKNOWN
DB30,2016,3,EX41784,M,465,41,8,460,UNKNOWN
DB30,2016,1,EX41784,M,420,12,8,495,UNKNOWN
DB30,2016,1,EK59686,F,415,7,5,470,UNKNOWN
DB30,2016,2,EK59686,F,405,20,8,535,UNKNOWN
DB30,2016,3,EK59686,F,390,36,5,515,UNKNOWN
DB33,2015,2,FB20883,F,400,33,7,465,EXP
DB33,2015,0,FB20883,F,340,6,6,NA,EXP
DB33,2015,1,EX41793,M,375,28,5,450,EXP
DB33,2015,3,FB20883,F,390,44,5,450,EXP
DB33,2015,1,FB20883,F,355,20,8,455,EXP
DB33,2015,0,EX41793,M,365,12,8,425,EXP
DB33,2015,2,EX41793,M,390,40,4,430,EXP
DB33,2019,2,FB20883,F,390,39,7,470,EXP
DB33,2019,0,FB20883,F,340,7,6,450,EXP
DB33,2019,2,EX41793,M,410,32,7,455,EXP
DB33,2019,1,FB20883,F,330,25,7,455,EXP
DB33,2019,1,EX41793,M,415,13,12,440,EXP
DB33,2019,0,EX41793,M,460,2,5,NA,EXP
DB4,2016,2,EX41740,F,375,32,8,455,EXP
DB4,2016,0,EX41740,F,390,4,5,NA,EXP
DB4,2016,0,EY07280,M,410,9,8,445,EXP
DB4,2016,1,EY07280,M,425,24,8,445,EXP
DB4,2016,1,EX41740,F,390,17,7,460,EXP
DB4,2018,0,EX41740,F,395,1,4,NA,EXP
DB4,2018,1,EY07280,M,395,18,6,430,EXP
DB4,2018,3,EX41740,F,380,38,8,470,EXP
DB4,2018,1,EX41740,F,385,12,6,430,EXP
DB4,2018,2,EX41740,F,385,24,6,445,EXP
DB4,2018,2,EY07280,M,410,30,8,450,EXP
DB4,2018,0,EY07280,M,390,5,7,455,EXP
DB43,2015,0,EX83006,F,375,1,9,NA,EXP
DB43,2015,0,FB32319,M,380,10,8,445,EXP
DB43,2015,1,EX83006,F,390,18,10,460,EXP
DB43,2019,1,EZ72723,F,380,6,4,460,NEW
DB43,2019,0,FB32319,M,465,3,3,410,NEW
DB43,2019,3,EZ72723,F,NA,22,5,450,NEW
DB43,2019,2,FB32319,M,430,17,4,425,NEW
DB43,2019,2,EZ72723,F,400,14,3,450,NEW
DB43,2019,4,EZ72723,F,355,35,6,465,NEW
DB43,2019,1,FB32319,M,435,10,4,430,NEW
DB43,2019,3,FB32319,M,415,27,8,420,NEW
DB43,2019,0,EZ72723,F,390,1,2,NA,NEW
DB43,2019,4,FB32319,M,405,41,7,425,NEW
DB8,2016,1,EX41733,F,425,12,5,505,EXP
DB8,2016,2,EX41733,F,380,24,14,485,EXP
DB8,2016,0,EX41733,F,360,1,7,NA,EXP
DB8,2016,0,EX41734,M,490,8,4,475,EXP
DB8,2016,1,EX41734,M,465,17,7,445,EXP
DB8,2019,1,EX41734,M,455,14,5,425,EXP
DB8,2019,3,EX41733,F,375,39,6,475,EXP
DB8,2019,0,EX41734,M,460,6,3,NA,EXP
DB8,2019,2,EX41733,F,400,28,5,485,EXP
DB8,2019,3,EX41734,M,435,33,6,430,EXP
DB8,2019,1,EX41733,F,390,19,5,520,EXP
DB8,2019,0,EX41733,F,410,9,5,500,EXP
DB8,2019,2,EX41734,M,470,24,4,430,EXP
